"idetudiant";"nom";"prenom";"civilite";"date_naissance";"lieu_naissance";"dept_naissance";"nationalite";"email";"emailperso";"domicile";"codepostaldomicile";"villedomicile";"paysdomicile";"telephone";"telephonemobile";"typeadresse";"boursier";"idadmission";"anneeadmission";"bac";specialite;"annee_bac";"math";"physique";"anglais";"francais";codelycee;"nomlycee";"villelycee";"codepostallycee"
572;Perrot;Félix;M;;Montpellier;Hérault;France;félix.perrot@etu.umontpellier.fr;félix.perrot@gmail.com;"17 Rue Flaugergues";"34000";Montpellier;France;"06.75.45.98.55";"06.62.17.62.11";domicile;false;550;2019;;;;;;;;;;;
593;Jacob;Émile;M;2000-05-05;Montpellier;Hérault;France;émile.jacob@etu.umontpellier.fr;émile.jacob@gmail.com;"336 Rue de la Métairie de Saysset";"34070";Montpellier;France;"06.51.44.86.05";"06.19.29.28.20";domicile;false;553;2019;S;;;;;;;;;;
595;Julien;Marwane;M;2001-08-06;Montpellier;Hérault;France;marwane.julien@etu.umontpellier.fr;marwane.julien@gmail.com;"6 Impasse des Picholines";"34570";Pignan;France;"06.50.86.95.20";"06.35.24.41.89";domicile;false;554;2019;STI-2D;;;;;;;;;;
596;Villain;Rémi;M;2000-10-25;Montpellier;Hérault;France;rémi.villain@etu.umontpellier.fr;rémi.villain@gmail.com;"14 Rue du Mont Saint-Loup";"34300";Agde;France;"06.27.69.92.86";"06.13.35.59.85";domicile;false;555;2019;S;;;;;;;;;;
246;Geoffroy;Maxime;M;1999-11-27;Montpellier;Hérault;France;maxime.geoffroy@etu.umontpellier.fr;maxime.geoffroy@gmail.com;"30 Rue de l'Aiguillerie";"34000";Montpellier;France;"06.18.77.94.59";"06.80.67.46.46";domicile;false;193;2017;S;SI/MATHS;2017;17.0;14.13;13.0;9.5;"0340076Y";Lycée Irene et Frederic Joliot Curie;Sete;"34"
453;Ferrer;Gabin;M;2000-08-14;Montpellier;Hérault;France;gabin.ferrer@etu.umontpellier.fr;gabin.ferrer@gmail.com;"24 Rue des Bleuets";"34310";Montady;France;"06.03.57.11.50";"06.96.23.74.70";domicile;false;380;2018;S;;;;;;;;;;
626;Carlier;Mohamed;M;2001-08-12;Montpellier;Hérault;France;mohamed.carlier@etu.umontpellier.fr;mohamed.carlier@gmail.com;"4 Plan des Sauges";"34750";Villeneuve-lès-Maguelone;France;"06.87.11.93.22";"06.57.10.09.87";domicile;false;557;2020;S;;;;;;;;;;
614;Blondeau;Corentin;M;2002-02-18;Montpellier;Hérault;France;corentin.blondeau@etu.umontpellier.fr;corentin.blondeau@gmail.com;"18 Route de Murviel";"34570";Pignan;France;"06.14.89.62.51";"06.77.74.80.60";domicile;false;573;2020;S-SCIENCES;MATHÉMATIQUES;2020;15.0;14.0;16.0;13.0;;LYCEE POLYVALENT THEOPHILE ROUSSEL;;
615;Richard;Alexandre;M;2001-08-23;Montpellier;Hérault;France;alexandre.richard@etu.umontpellier.fr;alexandre.richard@gmail.com;"18 Corniche de Neuburg";"34200";Sète;France;"06.60.98.41.47";"06.36.28.12.53";domicile;false;579;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;13.0;16.0;9.0;;LGT LYCEE DES METIERS DHUODA;;
695;Guiraud;Valentin;M;2002-02-21;Montpellier;Hérault;France;valentin.guiraud@etu.umontpellier.fr;valentin.guiraud@gmail.com;"18 Chemin du Jeu de Mail";"34450";Vias;France;"06.16.76.38.53";"06.16.71.52.84";domicile;false;566;2020;S-SCIENCES;MATHÉMATIQUES;2020;18.0;17.0;16.0;8.0;;LYCEE POLYVALENT MAURICE JANETTI;;
689;Chartier;Rémi;M;2000-08-18;Montpellier;Hérault;France;rémi.chartier@etu.umontpellier.fr;rémi.chartier@gmail.com;"32 Rue du Salaison";"34740";Vendargues;France;"06.57.39.90.83";"06.93.99.92.68";domicile;false;666;2020;"0021-INDUS";SYSTÈMES NUMÉRIQUES OPTION C: RÉSEAUX INFORMATIQUES ET SYSTÈMES COMMUNICANTS;2020;;;;;;LYCEE POLYVALENT CHARLES DE GAULLE ;;
623;Monnier;Renaud;M;2002-09-07;Montpellier;Hérault;France;renaud.monnier@etu.umontpellier.fr;renaud.monnier@gmail.com;"49 Route de Clermont l'Hérault";"34560";Villeveyrac;France;"06.41.39.32.38";"06.09.14.94.13";domicile;false;568;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;18.0;11.0;;LYCEE POLYVALENT VICTOR HUGO;;
688;Le guen;Enzo;M;2002-08-19;Montpellier;Hérault;France;enzo.le guen@etu.umontpellier.fr;enzo.le guen@gmail.com;"150 Place Jean Gau";"34500";Béziers;France;"06.04.53.06.98";"06.95.79.93.46";domicile;false;569;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;16.0;13.0;9.0;11.0;;LYCEE POLYVALENT GENEVIEVE DE GAULLE-ANT;;
611;Etienne;Émile;M;2003-10-25;Montpellier;Hérault;France;émile.etienne@etu.umontpellier.fr;émile.etienne@gmail.com;"11 Allée Marcel Achard";"34090";Montpellier;France;"06.09.71.98.07";"06.95.41.73.19";domicile;false;570;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;15.0;10.0;;LYCEE POLYVALENT.PRIVE EMMANUEL D ALZON;;
618;Pereira;Kyllian;M;2002-12-01;Montpellier;Hérault;France;kyllian.pereira@etu.umontpellier.fr;kyllian.pereira@gmail.com;"7 Impasse Guillaume Apollinaire";"34150";Gignac;France;"06.68.81.51.13";"06.16.26.01.10";domicile;false;607;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;14.0;16.0;12.0;14.0;;Lycée général et technologique Albert Ca;;
44;Combes;Diego;M;2002-10-14;Montpellier;Hérault;France;diego.combes@etu.umontpellier.fr;diego.combes@gmail.com;"4 Rue de l'Agriculture";"34310";Capestang;France;"06.33.05.28.22";"06.99.60.80.67";domicile;false;608;2020;S-SCIENCES;MATHÉMATIQUES;2020;17.0;18.0;15.0;10.0;;LYCEE POLYVALENT JEAN JAURES;;
74;Tournier;Yasmine;F;2001-11-19;Montpellier;Hérault;France;yasmine.tournier@etu.umontpellier.fr;yasmine.tournier@gmail.com;"41 Rue Henri Barbusse";"34200";Sète;France;"06.18.35.22.54";"06.15.13.51.47";domicile;false;574;2020;S-SCIENCES;MATHÉMATIQUES;2019;12.0;11.0;18.0;10.0;;LYCEE POLYVALENT JEAN MERMOZ;;
691;Walter;Pierre;M;2003-07-18;Montpellier;Hérault;France;pierre.walter@etu.umontpellier.fr;pierre.walter@gmail.com;"2550 Rue de Bionne";"34070";Montpellier;France;"06.89.15.31.41";"06.44.17.38.76";domicile;false;575;2020;S-SCIENCES;;2020;;;;;;;;
690;Weber;Kilian;M;2002-04-24;Montpellier;Hérault;France;kilian.weber@etu.umontpellier.fr;kilian.weber@gmail.com;"1 Rue Alban Barbier";"34370";Cazouls-lès-Béziers;France;"06.73.28.99.03";"06.82.32.82.54";domicile;false;567;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;11.0;12.0;14.0;9.0;;LYCEE GENERAL TECHN. JOLIOT CURIE SETE;;
619;Leon;Paul;M;2002-12-07;Montpellier;Hérault;France;paul.leon@etu.umontpellier.fr;paul.leon@gmail.com;"28 Rue Paul Verlaine";"34790";Grabels;France;"06.95.95.13.21";"06.38.74.04.97";domicile;false;605;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;11.0;12.0;17.0;14.0;;LYCEE GENERAL TECHN. JOLIOT CURIE SETE;;
606;Lebrun;Renaud;M;2001-06-12;Montpellier;Hérault;France;renaud.lebrun@etu.umontpellier.fr;renaud.lebrun@gmail.com;"4 Rue de la Syrah";"34970";Lattes;France;"06.57.78.33.21";"06.80.12.16.74";domicile;false;577;2020;S-SCIENCES;MATHÉMATIQUES;2020;16.0;14.0;16.0;11.0;;Ecole bilingue française MLF Greenville;;
600;Dupont;Jordan;M;2001-04-26;Montpellier;Hérault;France;jordan.dupont@etu.umontpellier.fr;jordan.dupont@gmail.com;"3 Rue du Parc";"34210";Siran;France;"06.01.69.71.93";"06.31.26.90.55";domicile;false;601;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2019;12.0;12.0;16.0;9.0;;LYCEE POLYVALENT ALBERT EINSTEIN;;
616;Torres;Lilian;M;2002-01-06;Montpellier;Hérault;France;lilian.torres@etu.umontpellier.fr;lilian.torres@gmail.com;"15 Rue des Aires";"34260";Ceilhes-et-Rocozels;France;"06.83.35.60.91";"06.25.58.54.35";domicile;false;606;2020;S-SCIENCES;SCIENCES DE LA VIE ET DE LA TERRE;2020;17.0;11.0;14.0;9.0;;LYCEE GENERAL ET TECHNOLOGIQUE DOCTEUR L;;
599;Bruneau;Antoine;M;2002-07-31;Montpellier;Hérault;France;antoine.bruneau@etu.umontpellier.fr;antoine.bruneau@gmail.com;"1 Impasse de la Riviera";"34160";Castries;France;"06.61.35.26.56";"06.12.58.69.90";domicile;false;578;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;8.0;9.0;19.0;11.0;;LYCEE POLYVALENT JEAN MERMOZ;;
624;Dumoulin;Alexandre;M;2002-02-04;Montpellier;Hérault;France;alexandre.dumoulin@etu.umontpellier.fr;alexandre.dumoulin@gmail.com;"16 Rue du Marché";"34710";Lespignan;France;"06.24.18.42.87";"06.12.45.00.19";domicile;false;581;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2019;14.0;11.0;13.0;12.0;;LYCEE POLYVALENT JEAN HENRI FABRE;;
620;Fernandez;Lorenzo;M;2002-10-03;Montpellier;Hérault;France;lorenzo.fernandez@etu.umontpellier.fr;lorenzo.fernandez@gmail.com;"4 Impasse de la Fontaine";"34220";Verreries-de-Moussans;France;"06.21.15.09.95";"06.03.05.78.28";domicile;false;603;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;7.0;11.0;;LYCEE POLYVALENT GEORGES POMPIDOU;;
625;Collet;Colin;M;2002-01-09;Montpellier;Hérault;France;colin.collet@etu.umontpellier.fr;colin.collet@gmail.com;"6 Rue Maurice Ravel";"34340";Marseillan;France;"06.62.02.63.90";"06.12.46.78.76";domicile;false;583;2020;S-SCIENCES;SCIENCES DE LA VIE ET DE LA TERRE;2020;13.0;13.0;17.0;14.0;;LYCEE POLYVALENT JULES GUESDE;;
598;Bonhomme;Jérémy;M;2002-07-17;Montpellier;Hérault;France;jérémy.bonhomme@etu.umontpellier.fr;jérémy.bonhomme@gmail.com;"2 Lotissement Les Amandiers";"34480";Autignac;France;"06.85.78.22.14";"06.04.52.17.47";domicile;false;602;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;18.0;15.0;13.0;11.0;;LYCEE POLYVALENT JEAN-FRANCOIS CHAMPOLLI;;
610;Mary;Yohan;M;2002-03-12;Montpellier;Hérault;France;yohan.mary@etu.umontpellier.fr;yohan.mary@gmail.com;"13 Avenue de la Méditerranée";"34160";Saint-Drézéry;France;"06.58.55.41.67";"06.95.43.29.45";domicile;false;585;2020;S-SCIENCES;PHYSIQUE-CHIMIE;2020;10.0;14.0;18.0;13.0;;LYCEE GENERAL ET TECHNOLOGIQUE JOFFRE;;
587;Gallet;Dorian;M;2001-07-15;Montpellier;Hérault;France;dorian.gallet@etu.umontpellier.fr;dorian.gallet@gmail.com;"14 Rue des Terrasses";"34790";Grabels;France;"06.84.91.38.97";"06.98.25.49.44";domicile;false;586;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;14.0;15.0;17.0;7.0;;LYC POLYVAL PRIVE DES METIERS DE LA SALL;;
613;Colas;Mohamed;M;2002-08-29;Montpellier;Hérault;France;mohamed.colas@etu.umontpellier.fr;mohamed.colas@gmail.com;"21 Rue Jules Ferry";"34170";Castelnau-le-Lez;France;"06.26.06.71.47";"06.66.31.99.25";domicile;false;587;2020;S-SCIENCES;PHYSIQUE-CHIMIE;2020;13.0;11.0;14.0;11.0;;LYCEE POLYVALENT JULES GUESDE;;
605;Pineau;Titouan;M;2002-08-03;Montpellier;Hérault;France;titouan.pineau@etu.umontpellier.fr;titouan.pineau@gmail.com;"73 Rue des Lavandes";"34400";Saint-Just;France;"06.87.19.33.40";"06.03.77.86.43";domicile;false;588;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;16.0;15.0;17.0;13.0;;LYCEE POLYVALENT DE BOIS D'OLIVE;;
609;Picard;Gabin;M;2002-07-22;Montpellier;Hérault;France;gabin.picard@etu.umontpellier.fr;gabin.picard@gmail.com;"53 Boulevard de la Fraternité Prolongé";"34550";Bessan;France;"06.05.18.54.47";"06.70.63.61.00";domicile;false;589;2020;S-SCIENCES;MATHÉMATIQUES;2020;14.0;13.0;15.0;10.0;;LYCEE FRANCAIS CHARLES LEPIERRE ( M,E,C,;;
604;Herve;Bastien;M;2002-04-30;Montpellier;Hérault;France;bastien.herve@etu.umontpellier.fr;bastien.herve@gmail.com;"10 Rue Alexandre Cabanel";"34000";Montpellier;France;"06.06.65.00.04";"06.09.05.84.39";domicile;false;595;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;16.0;17.0;15.0;;LYCEE GENERAL ET TECHNOLOGIQUE JOFFRE;;
608;Dos santos;Julien;M;2003-10-19;Montpellier;Hérault;France;julien.dos santos@etu.umontpellier.fr;julien.dos santos@gmail.com;"110 Rue du Fouloir";"34500";Béziers;France;"06.30.01.79.16";"06.18.71.15.18";domicile;false;590;2020;S-SCIENCES;MATHÉMATIQUES;2020;15.0;16.0;15.0;14.0;;LYCEE POLYVALENT JEAN LURCAT;;
612;Camus;Alexandre;M;2003-02-06;Montpellier;Hérault;France;alexandre.camus@etu.umontpellier.fr;alexandre.camus@gmail.com;"13 Route du Poujol";"34390";Prémian;France;"06.25.60.45.62";"06.56.61.77.53";domicile;false;591;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;19.0;19.0;20.0;13.0;;LYCEE POLYVALENT JEAN JAURES;;
602;Bruneau;Mehdi;M;2000-03-08;Montpellier;Hérault;France;mehdi.bruneau@etu.umontpellier.fr;mehdi.bruneau@gmail.com;"3 Impasse des Géraniums";"34540";Balaruc-les-Bains;France;"06.76.62.01.62";"06.35.49.83.17";domicile;false;665;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2018;12.0;13.0;19.0;17.0;;LYCEE GENERAL ET TECHNOLOGIQUE LORGUES;;
73;Monnier;Clara;F;2002-12-10;Montpellier;Hérault;France;clara.monnier@etu.umontpellier.fr;clara.monnier@gmail.com;"34 Cours Jean Jaurès";"34120";Pézenas;France;"06.55.06.03.50";"06.59.13.23.73";domicile;false;604;2020;S-SCIENCES;;2020;;;;;;;;
591;Munoz;Kylian;M;2002-07-27;Montpellier;Hérault;France;kylian.munoz@etu.umontpellier.fr;kylian.munoz@gmail.com;"9 Impasse du Pêcher";"34110";Frontignan;France;"06.96.78.80.76";"06.26.19.55.50";domicile;false;594;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;16.0;11.0;;LYCEE POLYVALENT ERNEST HEMINGWAY;;
603;Voisin;Simon;M;2003-01-14;Montpellier;Hérault;France;simon.voisin@etu.umontpellier.fr;simon.voisin@gmail.com;"74 Rue Frédéric Bazille";"34160";Castries;France;"06.86.11.20.76";"06.05.75.17.44";domicile;false;592;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;12.0;14.0;17.0;13.0;;LYCEE POLYVALENT JOSEPH VALLOT;;
71;Camus;Candice;F;2002-01-05;Montpellier;Hérault;France;candice.camus@etu.umontpellier.fr;candice.camus@gmail.com;"24 Rue des Hespérides";"34350";Valras-Plage;France;"06.99.76.13.15";"06.48.36.16.58";domicile;false;582;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;14.0;14.0;14.0;6.0;;LYCEE GENERAL ET TECHNOLOGIQUE JOFFRE;;
607;Besson;Tristan;M;2002-07-25;Montpellier;Hérault;France;tristan.besson@etu.umontpellier.fr;tristan.besson@gmail.com;"1 Rue de la Condamine";"34210";Siran;France;"06.66.13.09.76";"06.98.78.41.49";domicile;false;597;2020;S-SCIENCES;MATHÉMATIQUES;2020;15.0;16.0;19.0;13.0;;LYCEE POLYVALENT ALBERT EINSTEIN;;
573;Labbe;Amaury;M;2002-11-07;Montpellier;Hérault;France;amaury.labbe@etu.umontpellier.fr;amaury.labbe@gmail.com;"13 Chemin de Quarante";"34370";Maureilhan;France;"06.74.75.83.82";"06.73.06.79.87";domicile;false;598;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;19.0;16.0;13.0;10.0;;LGT LYCEE DES METIERS DHUODA;;
601;Michaud;Roméo;M;2002-03-04;Montpellier;Hérault;France;roméo.michaud@etu.umontpellier.fr;roméo.michaud@gmail.com;"3 Rue du Château";"34260";Avène;France;"06.63.81.73.49";"06.97.16.43.17";domicile;false;599;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;11.0;11.0;16.0;13.0;;LYCEE GENERAL ET TECHNOLOGIQUE JEAN DE P;;
622;Cohen;Romain;M;2002-03-18;Montpellier;Hérault;France;romain.cohen@etu.umontpellier.fr;romain.cohen@gmail.com;"14 Rue Vercingétorix";"34500";Béziers;France;"06.92.83.16.54";"06.82.56.01.78";domicile;false;593;2020;S-SCIENCES;MATHÉMATIQUES;2020;11.0;14.0;20.0;13.0;;LYCEE FRANCAIS GUSTAVE FLAUBERT(C,L);;
98;Leveque;Adrien;M;2002-09-29;Montpellier;Hérault;France;adrien.leveque@etu.umontpellier.fr;adrien.leveque@gmail.com;"37 Rue des Érables";"34730";Prades-le-Lez;France;"06.25.00.14.01";"06.76.73.90.63";domicile;false;609;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;12.0;13.0;15.0;11.0;;LYCEE GENERAL TECHN. JOLIOT CURIE SETE;;
631;Marty;Kevin;M;2002-05-12;Montpellier;Hérault;France;kevin.marty@etu.umontpellier.fr;kevin.marty@gmail.com;"12 Lotissement le Rio";"34790";Grabels;France;"06.25.64.05.37";"06.24.98.07.50";domicile;false;612;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;16.0;16.0;17.0;9.0;;LYCEE POLYVALENT VICTOR HUGO;;
671;Verdier;Adrien;M;2002-03-20;Montpellier;Hérault;France;adrien.verdier@etu.umontpellier.fr;adrien.verdier@gmail.com;"1207 Avenue de la Méditerranée";"34450";Vias;France;"06.71.84.99.04";"06.15.03.20.03";domicile;false;636;2020;"0031-ÉTRAN";;2019;;;;;;;;
621;Gregoire;Cédric;M;2002-08-22;Montpellier;Hérault;France;cédric.gregoire@etu.umontpellier.fr;cédric.gregoire@gmail.com;"79 impasse des castans";"34390";Saint-Étienne-d'Albagnan;France;"06.48.20.09.96";"06.21.45.84.41";domicile;false;691;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;12.0;13.0;16.0;6.0;;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONN;;
669;Leleu;Théo;M;2002-09-02;Montpellier;Hérault;France;théo.leleu@etu.umontpellier.fr;théo.leleu@gmail.com;"320BIS Chemin de la Garriguette";"34800";Canet;France;"06.59.51.89.59";"06.24.62.22.95";domicile;false;628;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;11.0;11.0;18.0;12.0;;LYCEE POLYVALENT JEAN MERMOZ;;
667;Neveu;Baptiste;M;1999-12-20;Montpellier;Hérault;France;baptiste.neveu@etu.umontpellier.fr;baptiste.neveu@gmail.com;"18 Cité Nouvelle";"34570";Pignan;France;"06.72.27.63.58";"06.81.85.23.99";domicile;false;626;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2019;19.0;18.0;20.0;10.0;;LYCEE POLYVALENT JEAN MERMOZ;;
675;Paul;Nolan;M;2002-03-14;Montpellier;Hérault;France;nolan.paul@etu.umontpellier.fr;nolan.paul@gmail.com;"2A Route de Saint-Privat";"34700";Saint-Jean-de-la-Blaquière;France;"06.88.91.00.86";"06.09.71.98.07";domicile;false;654;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;15.0;15.0;16.0;5.0;;LYCEE GENERAL ET TECHNOLOGIQUE RIVE GAUC;;
705;Gillet;Jérémy;M;2002-06-21;Montpellier;Hérault;France;jérémy.gillet@etu.umontpellier.fr;jérémy.gillet@gmail.com;"201 Rue de Minerve";"34500";Béziers;France;"06.54.74.11.54";"06.14.20.28.25";domicile;false;642;2020;S-SC.VIE T;;2020;;;;;;;;
661;Leclercq;Nolan;M;2002-10-01;Montpellier;Hérault;France;nolan.leclercq@etu.umontpellier.fr;nolan.leclercq@gmail.com;"8BIS Rue Pablo Picasso";"34420";Portiragnes;France;"06.21.07.91.19";"06.57.87.49.87";domicile;false;647;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;15.0;14.0;19.0;13.0;;LYCEE POLYVALENT VICTOR HUGO;;
656;Bouvier;Renaud;M;1999-03-30;Montpellier;Hérault;France;renaud.bouvier@etu.umontpellier.fr;renaud.bouvier@gmail.com;"3 Rue Verdi";"34510";Florensac;France;"06.08.77.91.12";"06.51.30.20.05";domicile;false;610;2020;S-SCIENCES;MATHÉMATIQUES;2016;16.0;16.0;18.0;7.0;;LYCEE GENERAL ET TECHNOLOGIQUE SIMONE VE;;
81;Rousset;Maëlle;F;2002-06-05;Montpellier;Hérault;France;maëlle.rousset@etu.umontpellier.fr;maëlle.rousset@gmail.com;"9 Place de la Chapelle";"34260";Saint-Étienne-Estréchoux;France;"06.14.09.91.81";"06.55.68.70.23";domicile;false;645;2020;S-SCIENCES;MATHÉMATIQUES;2020;12.0;12.0;15.0;18.0;;LYCEE GENERAL ET TECHNOLOGIQUE ARC (DE L;;
632;Chauvet;Anthony;M;2002-12-04;Montpellier;Hérault;France;anthony.chauvet@etu.umontpellier.fr;anthony.chauvet@gmail.com;"16 Plan du Château";"34720";Caux;France;"06.67.16.54.22";"06.75.61.64.47";domicile;false;650;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;12.0;15.0;14.0;;LYCEE GENERAL ET TECHNOLOGIQUE CHARLES G;;
636;Marechal;Anthony;M;2002-10-20;Montpellier;Hérault;France;anthony.marechal@etu.umontpellier.fr;anthony.marechal@gmail.com;"3 Impasse Louis Blanc";"34420";Villeneuve-lès-Béziers;France;"06.87.32.98.91";"06.80.94.76.62";domicile;false;615;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;19.0;14.0;;Lycée général et technologique Albert Ca;;
640;Pelletier;Noë;M;2002-02-12;Montpellier;Hérault;France;noë.pelletier@etu.umontpellier.fr;noë.pelletier@gmail.com;"21 Rue du Camp";"34610";Saint-Gervais-sur-Mare;France;"06.71.68.81.06";"06.49.30.91.49";domicile;false;638;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;11.0;16.0;16.0;;LYC POLYVAL PRIVE DES METIERS DE LA SALL;;
641;Aubert;Victor;M;2003-06-23;Montpellier;Hérault;France;victor.aubert@etu.umontpellier.fr;victor.aubert@gmail.com;"12 Chemin des Saintes-Maries";"34400";Lunel;France;"06.84.13.65.77";"06.05.72.09.08";domicile;false;614;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;10.0;12.0;14.0;7.0;;LYCEE GENERAL TECHNO GEORGES CLEMENCEAU;;
637;Le goff;Kylian;M;2002-09-10;Montpellier;Hérault;France;kylian.le goff@etu.umontpellier.fr;kylian.le goff@gmail.com;"3 Impasse Salvador Dali";"34130";Lansargues;France;"06.00.03.21.88";"06.47.22.10.85";domicile;false;652;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;16.0;13.0;18.0;11.0;;LYCEE POLYVALENT GENEVIEVE DE GAULLE-ANT;;
653;Maury;Grégory;M;2002-10-04;Montpellier;Hérault;France;grégory.maury@etu.umontpellier.fr;grégory.maury@gmail.com;"211 Rue André Lenôtre";"34400";Lunel;France;"06.44.82.74.26";"06.34.84.00.87";domicile;false;616;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;20.0;18.0;10.0;6.0;;LYCEE GEN.ET TECHNOL.PRIVE ST JOSEPH PIE;;
694;Bouchet;Quentin;M;2001-10-24;Montpellier;Hérault;France;quentin.bouchet@etu.umontpellier.fr;quentin.bouchet@gmail.com;"65 Avenue Rhin et Danube";"34500";Béziers;France;"06.38.66.15.34";"06.20.76.35.60";domicile;false;617;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;16.0;17.0;16.0;10.0;;LYCEE POLYVALENT ALBERT EINSTEIN;;
647;Paul;Théo;M;2002-09-25;Montpellier;Hérault;France;théo.paul@etu.umontpellier.fr;théo.paul@gmail.com;"23BIS Rue de la République";"34300";Agde;France;"06.14.00.34.28";"06.31.19.50.02";domicile;false;618;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;11.0;13.0;18.0;11.0;;LYCEE GENERAL TECHN. JOLIOT CURIE SETE;;
85;Combe;Léa;F;2002-11-01;Montpellier;Hérault;France;léa.combe@etu.umontpellier.fr;léa.combe@gmail.com;"6BIS Rue du Barnier";"34110";Frontignan;France;"06.70.25.27.02";"06.85.49.36.40";domicile;false;625;2020;STI-2D;SYSTÈME INFORMATIQUE ET NUMÉRIQUE;2020;16.0;16.0;16.0;14.0;;LYCEE POLYVALENT JEAN-FRANCOIS CHAMPOLLI;;
80;Leveque;Anna;F;2002-09-09;Montpellier;Hérault;France;anna.leveque@etu.umontpellier.fr;anna.leveque@gmail.com;"29 Rue de la République";"34550";Bessan;France;"06.12.74.19.89";"06.97.49.34.48";domicile;false;620;2020;S-SCIENCES;MATHÉMATIQUES;2020;14.0;13.0;11.0;10.0;;LYCEE GENERAL ET TECHNOLOGIQUE CHARLES G;;
655;Grosjean;Léon;M;2002-10-23;Montpellier;Hérault;France;léon.grosjean@etu.umontpellier.fr;léon.grosjean@gmail.com;"21 Avenue du Général de Gaulle";"34110";Frontignan;France;"06.36.78.05.09";"06.42.37.95.42";domicile;false;621;2020;S-SCIENCES;INFORMATIQUE ET SCIENCES DU NUMÉRIQUE;2020;13.0;14.0;15.0;8.0;;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOUL;;
663;Cochet;Nicolas;M;2001-01-16;Montpellier;Hérault;France;nicolas.cochet@etu.umontpellier.fr;nicolas.cochet@gmail.com;"276 Chemin du Truc de Brun";"34820";Assas;France;"06.38.22.35.11";"06.76.30.34.01";domicile;false;572;2020;ES-ECO;MATHÉMATIQUES;2019;;;;;;LYCEE GENERAL PAUL VALERY;;
